school,test_optional
Stanford University,Yes
Harvard College,Yes
Princeton University,Yes
Columbia University,Yes
Yale University,Yes
California Institute of Technology,TB
Massachusetts Institute of Technology,Yes
Brown University,Yes
University of Chicago,Yes
Pomona College,Yes
University of Pennsylvania,Yes
Dartmouth College,Yes
Bowdoin College,Yes
Duke University,Yes
Swarthmore College,Yes
Northwestern University,Yes
Vanderbilt University,Yes
Claremont McKenna College,Yes
Johns Hopkins University,Yes
Cornell University,Yes
Rice University,Yes
Amherst College,Yes
Barnard College,Yes
Bates College,Yes
University of California—​Los Angeles,Yes
Tulane University,Yes
University of Southern California,Yes
Williams College,Yes
Colby College,Yes
Pitzer College,Yes
Colorado College,Yes
Harvey Mudd College,Yes
Georgetown University,Yes
University of California—​Berkeley,TB
Tufts University,Yes
Washington University in St. Louis,Yes
Middlebury College,Yes
Carnegie Mellon University,Yes
University of Notre Dame,Yes
The Cooper Union,Yes
New York University,Yes
Haverford College,Yes
Wesleyan University,Yes
Hamilton College,Yes
Northeastern University,Yes
Davidson College,Yes
Emory University,Yes
Carleton College,Yes
Georgia Institute of Technology,Yes
Washington and Lee University,Yes
Wellesley College,Yes
Boston University,Yes
Colgate University,Yes
University of North Carolina—​Chapel Hill,Yes
University of Michigan—​Ann Arbor,Yes
Vassar College,Yes
Rhode Island School of Design,Yes
University of Virginia,Yes
Grinnell College,Yes
Babson College,Yes
University of California—​Irvine,TB
University of Miami,Yes
Boston College,Yes
Villanova University,Yes
University of Richmond,Yes
California State Polytechnic University—​San Luis Obispo,TB
Trinity University,Yes
Case Western Reserve University,Yes
University of Rochester,Yes
University of California—​Santa Barbara,Yes
Wake Forest University,Yes
Skidmore College,Yes
University of California—​San Diego,Yes
Franklin and Marshall College,Yes
Brandeis University,Yes
Lafayette College,Yes
American University,Yes
University of Texas—​Austin,Yes
Scripps College,Yes
Lehigh University,Yes
Macalester College,Yes
Smith College,Yes
Bryn Mawr College,Yes
Trinity College (Hartford),Yes
Denison University,Yes
San Diego State University,TB
Kenyon College,Yes
College of the Holy Cross,Yes
Bucknell University,Yes
Emerson College,Yes
Pepperdine University,Yes
Hampton University,No
Oberlin College,Yes
CUNY--Hunter,TB
Occidental College,Yes
Connecticut College,Yes
College of William and Mary,Yes
Mount Holyoke College,Yes
Berea College,Yes
Pratt Institute,Yes
Soka University of America,Yes
California State University--Los Angeles,TB
California State University--Long Beach,TB
Reed College,TB
Binghamton University—​SUNY,Yes
Dickinson College,Yes
University of Tulsa,Yes
George Washington University,Yes
University of California—​Davis,Yes
Stevens Institute of Technology,Yes
St. Lawrence University,Yes
Union College (Schenectady NY),Yes
Rensselaer Polytechnic Institute,Yes
Bentley University,Yes
CUNY--Baruch College,TB
Spelman College,Yes
Loyola Marymount University,Yes
University of Maryland—​College Park,Yes
Stony Brook University—​SUNY,Yes
Rhodes College,Yes
North Carolina State University—​Raleigh,Yes
Baylor University,Yes
University of Dallas,Yes
Gettysburg College,Yes
Fordham University,Yes
Texas Christian University,Yes
Southern Methodist University,Yes
Providence College,Yes
St. Olaf College,Yes
University of New Mexico,Yes
University of Georgia,Yes
University of San Diego,Yes
University of Connecticut,Yes
Santa Clara University,Yes
Southwestern University,Yes
Pennsylvania State University—​University Park,Yes
Marist College,Yes
The College of New Jersey,Yes
Worcester Polytechnic Institute,Yes
Syracuse University,Yes
University of La Verne,Yes
Clemson University,Yes
Austin College,Yes
University of California—​Santa Cruz,TB
University of Washington--Seattle,Yes
California State University--Fullerton,TB
University of Wisconsin—​Madison,Yes
Colorado School of Mines,Yes
Chapman University,Yes
Ohio State University—​Columbus,Yes
Texas Lutheran University,Yes
University at Albany—​SUNY,Yes
Georgia Southern,Yes
College of Wooster,Yes
San Jose State University,TB
